min_pts	weight_clus	meas_perc	k	n	min_perc	max_perc	eps	Fit	ARI	Vm
1	0.0	0.2	2	1	0.0	0.9	0.3	0.8432	0.6674	0.7959
1	0.0	0.2	2	1	0.0	0.9	0.6	1.0	0.7798	0.8566
1	0.0	0.2	2	1	0.0	0.9	0.9	1.0	0.7798	0.8566
1	0.0	0.2	2	1	0.0	1.0	0.3	1.0	0.6009	0.762
1	0.0	0.2	2	1	0.0	1.0	0.6	1.0	0.7798	0.8566
1	0.0	0.2	2	1	0.0	1.0	0.9	1.0	0.7798	0.8566
1	0.0	0.2	2	1	0.1	0.9	0.3	1.0	0.6674	0.7959
1	0.0	0.2	2	1	0.1	0.9	0.6	1.0	0.7798	0.8566
1	0.0	0.2	2	1	0.1	0.9	0.9	1.0	0.7798	0.8566
1	0.0	0.2	2	1	0.1	1.0	0.3	1.0	0.6009	0.762
1	0.0	0.2	2	1	0.1	1.0	0.6	1.0	0.7798	0.8566
1	0.0	0.2	2	1	0.1	1.0	0.9	1.0	0.7798	0.8566
1	0.0	0.2	2	2	0.0	0.9	0.3	1.0	0.0031	0.4882
1	0.0	0.2	2	2	0.0	0.9	0.6	1.0	0.0077	0.4925
1	0.0	0.2	2	2	0.0	0.9	0.9	1.0	0.0122	0.4959
1	0.0	0.2	2	2	0.0	1.0	0.3	1.0	0.0031	0.4882
1	0.0	0.2	2	2	0.0	1.0	0.6	1.0	0.0077	0.4925
1	0.0	0.2	2	2	0.0	1.0	0.9	1.0	0.0122	0.4959
1	0.0	0.2	2	2	0.1	0.9	0.3	1.0	0.0036	0.4867
1	0.0	0.2	2	2	0.1	0.9	0.6	1.0	0.009	0.4918
1	0.0	0.2	2	2	0.1	0.9	0.9	1.0	0.0227	0.501
1	0.0	0.2	2	2	0.1	1.0	0.3	1.0	0.0036	0.4867
1	0.0	0.2	2	2	0.1	1.0	0.6	1.0	0.009	0.4918
1	0.0	0.2	2	2	0.1	1.0	0.9	1.0	0.0227	0.501
1	0.0	0.2	3	1	0.0	0.9	0.3	1.0	0.6674	0.7959
1	0.0	0.2	3	1	0.0	0.9	0.6	1.0	0.7798	0.8566
1	0.0	0.2	3	1	0.0	0.9	0.9	1.0	0.7798	0.8566
1	0.0	0.2	3	1	0.0	1.0	0.3	1.0	0.6009	0.762
1	0.0	0.2	3	1	0.0	1.0	0.6	1.0	0.7798	0.8566
1	0.0	0.2	3	1	0.0	1.0	0.9	1.0	0.7798	0.8566
1	0.0	0.2	3	1	0.1	0.9	0.3	1.0	0.6674	0.7959
1	0.0	0.2	3	1	0.1	0.9	0.6	1.0	0.7798	0.8566
1	0.0	0.2	3	1	0.1	0.9	0.9	1.0	0.7798	0.8566
